"","p_d_node","p_state","d_state","change","p_pp","d_pp","dpp>ppp"
"154","1173_1174",1,1,0,1,1,0
"155","1174_1175",1,1,0,1,1,0
"156","1175_1176",1,1,0,1,1,0
"157","1176_75",1,1,0,1,1,0
"158","1176_1177",1,1,0,1,1,0
"159","1177_76",1,1,0,1,1,0
"160","1177_77",1,1,0,1,1,0
"161","1175_1178",1,1,0,1,1,0
"162","1178_78",1,1,0,1,1,0
"163","1178_1179",1,1,0,1,1,0
"164","1179_79",1,1,0,1,1,0
"165","1179_80",1,1,0,1,1,0
"166","1174_1180",1,1,0,1,1,0
"167","1180_1181",1,1,0,1,1,0
"168","1181_1182",1,1,0,1,1,0
"169","1182_1183",1,1,0,1,1,0
"170","1183_1184",1,1,0,1,1,0
"171","1184_81",1,1,0,1,1,0
"172","1184_1185",1,1,0,1,1,0
"173","1185_82",1,1,0,1,1,0
"174","1185_1186",1,1,0,1,1,0
"175","1186_83",1,1,0,1,1,0
"176","1186_1187",1,1,0,1,1,0
"177","1187_1188",1,1,0,1,1,0
"178","1188_84",1,1,0,1,1,0
"179","1188_85",1,1,0,1,1,0
"180","1187_86",1,1,0,1,1,0
"181","1183_1189",1,1,0,1,1,0
"182","1189_1190",1,1,0,1,1,0
"183","1190_1191",1,1,0,1,1,0
"184","1191_1192",1,1,0,1,1,0
"185","1192_1193",1,1,0,1,1,0
"186","1193_1194",1,1,0,1,1,0
"187","1194_87",1,1,0,1,1,0
"188","1194_88",1,1,0,1,1,0
"189","1193_1195",1,1,0,1,1,0
"190","1195_1196",1,1,0,1,1,0
"191","1196_89",1,1,0,1,1,0
"192","1196_90",1,1,0,1,1,0
"193","1195_1197",1,1,0,1,1,0
"194","1197_1198",1,1,0,1,1,0
"195","1198_91",1,1,0,1,1,0
"196","1198_92",1,1,0,1,1,0
"197","1197_1199",1,1,0,1,1,0
"198","1199_93",1,1,0,1,1,0
"199","1199_94",1,1,0,1,1,0
"200","1192_1200",1,1,0,1,1,0
"201","1200_95",1,1,0,1,1,0
"202","1200_1201",1,1,0,1,1,0
"203","1201_1202",1,1,0,1,1,0
"204","1202_96",1,1,0,1,1,0
"205","1202_97",1,1,0,1,1,0
"206","1201_98",1,1,0,1,1,0
"207","1191_1203",1,1,0,1,1,0
"208","1203_99",1,1,0,1,1,0
"209","1203_1204",1,1,0,1,1,0
"210","1204_1205",1,1,0,1,1,0
"211","1205_100",1,1,0,1,1,0
"212","1205_101",1,1,0,1,1,0
"213","1204_1206",1,1,0,1,1,0
"214","1206_1207",1,1,0,1,1,0
"215","1207_102",1,1,0,1,1,0
"216","1207_1208",1,1,0,1,1,0
