"","gene","lambda","model","AIC","p_value","slope","intercept","r_squared"
"1","uvrA",0.274902355670793,"linear",701.334075326813,0.933135739240784,0.0438073261824258,-1.77151619237425,-0.00417191768906378
"2","uvrA",0.274902355670793,"pagel",698.128605334411,0.714999189425274,0.191737219896195,-2.06393197653887,0.000567276189393683
"3","mutT",0.277735981719245,"linear",700.405449513094,0.335905906179932,0.227416451222392,-1.9359565000353,-0.000294008357070163
"4","mutT",0.277735981719245,"pagel",698.17068254859,0.760883957170345,0.0899461599319438,-1.95321478177224,0.000609856325985828
"5","mutY",0.280820262474938,"linear",701.16310047363,0.674630281197473,0.106518151541351,-1.82696827847061,-0.00345680516485736
"6","mutY",0.280820262474938,"pagel",698.188467175233,0.786927477888877,0.0928386876843537,-1.96109338603627,0.000563567077947581
"7","mutL",0.246849692845361,"linear",700.685291943682,0.420446732098501,-0.13908044324138,-1.6148566263144,-0.00146104155528604
"8","mutL",0.246849692845361,"pagel",696.254031543404,0.158639369188281,-0.381284529707392,-1.59725439262766,0.0199905511659051
"9","mutS",0.252443299382615,"linear",700.918582068543,0.517833827638591,-0.113715352869304,-1.63462382217769,-0.0024349772128196
"10","mutS",0.252443299382615,"pagel",696.910966125447,0.247488149111284,-0.318200729153411,-1.63259192807968,0.0135358304840344
"11","mutH",0.270508171671178,"linear",696.114360717671,0.0229483177309845,0.486479599330701,-1.78114094488902,0.0174318477655546
"12","mutH",0.270508171671178,"pagel",697.045245583775,0.255646623811199,0.355404160532183,-1.87747628395731,0.0115963457960351
"13","dnaQ",0.207219412598241,"linear",697.420098668953,0.0488568445430846,0.73053720188026,-2.43462495011245,0.0120715438951075
"14","dnaQ",0.207219412598241,"pagel",696.376366149725,0.155453247583386,0.564128792871428,-2.37469319576802,0.00971868560686941
"15","ung",0.0944074842915759,"linear",689.915370513062,0.000772188112627995,0.531913785833859,-2.14067217231611,0.0424857708963097
"16","ung",0.0944074842915759,"pagel",691.046510989061,0.00288214559248951,0.52765963016052,-2.20008359759596,0.0457851854316733
"17","mutM",0.166623000739594,"linear",695.211751735953,0.013783763683343,0.415587885575188,-2.06437252913481,0.0211202195040966
"18","mutM",0.166623000739594,"pagel",695.724149073458,0.0918381441415866,0.338035701768204,-2.07106983522342,0.0168117133443059
"19","uvrD",0.279162146865357,"linear",700.686760260669,0.420967323827661,0.483837632085518,-2.20622864997931,-0.00146716850010464
"20","uvrD",0.279162146865357,"pagel",697.503688435131,0.386118826615794,0.512451083761859,-2.37726679880604,0.00305362946671067
"21","nfi",0.250483096288926,"linear",695.279562160335,0.014317848539169,0.485068992148904,-1.7910937331141,0.0208436043724816
"22","nfi",0.250483096288926,"pagel",694.558388514545,0.0538472631913846,0.410978243192718,-1.91730616045425,0.0180197276753513
