"","Variables","PGLS_Estimate","PGLS_St_error","PGLS_t_value","PGLS_p_value","LM_Estimate","LM_St_error","LM_t_value","LM_p_value"
"1","(Intercept)",-1.00159132009803,0.254936264570121,-3.92879107170939,0.000137460423527732,-1.11290869842565,0.144459878202167,-7.70392936970481,2.87794831846387e-12
"2","dnaQ",-0.0242437627892099,0.110110110548868,-0.220177444817389,0.82607571465358,0.107842789134495,0.117292007615851,0.91943851355752,0.35955616108077
"3","mutH",-0.107513892445509,0.148451937073062,-0.724233678356082,0.470213726860402,0.0366268369061013,0.062668740034198,0.584451464735277,0.559921784225302
"4","mutM",0.176549746605972,0.102867919788984,1.71627604571118,0.0884752854584692,0.189382814260511,0.053474868502744,3.54152931205044,0.000551634686972416
"5","mutS",-0.233505185519977,0.179309707770826,-1.30224508434545,0.195117566702657,-0.228363188305174,0.0673888581246728,-3.38873805937905,0.000927895742649026
"6","mutT",0.0481400487591011,0.0869827885049835,0.553443383300399,0.580903182281047,0.168966298717637,0.113238115210233,1.49213273643721,0.13806868631031
"7","mutY",0.593557924759087,0.271517744847744,2.18607415545503,0.0305871031482563,0.503518050407031,0.141908291436255,3.54819331070031,0.000539064386694115
"8","nfi",0.0728610797095455,0.0549134693130481,1.32683439274584,0.186871635799552,0.151188755951626,0.0573651317304527,2.63555144721068,0.00941391728854999
"9","ung",-0.0225780541303232,0.0878045845223074,-0.257139809420624,0.797474294686898,-0.0155965154467968,0.0695063220917694,-0.224389882494498,0.822803548641441
