"","Variables","PGLS_Estimate","PGLS_St_error","PGLS_t_value","PGLS_p_value","LM_Estimate","LM_St_error","LM_t_value","LM_p_value"
"1","(Intercept)",-3.01080641723664,0.410085231170483,-7.34190404429602,3.57380774383172e-12,-2.94979848718714,0.458613021526781,-6.43199898111676,7.16508778330978e-10
"2","dnaQ",0.436539399054265,0.271647260913743,1.60700828561964,0.109418549131849,0.444291015006879,0.373735862651199,1.18878346823657,0.235745518418293
"3","mutH",-0.17258669358538,0.157653350861498,-1.09472264713867,0.274778293111478,0.180949055948043,0.228339595450418,0.792455883926335,0.42890798879003
"4","mutM",0.588424984901432,0.126904141874636,4.6367673758254,5.92265647657337e-06,0.362582510601731,0.16792637983732,2.15917541337451,0.0318666895308701
"5","mutS",-0.323953914566317,0.0548733557224313,-5.90366509030339,1.25983027650424e-08,-0.205451325455574,0.209275143860721,-0.981728272480883,0.327260815560498
"6","mutT",0.231304655028809,0.352099042991277,0.656930655260371,0.511879454425562,0.0299107680014045,0.358920971197725,0.0833352475938972,0.933657144277241
"7","mutY",0.0658541420445328,0.410075169092066,0.160590416118924,0.872556351416992,0.267541547085411,0.40310803018322,0.66369689277539,0.507546169115106
"8","nfi",0.328651245094026,0.192271909906915,1.70930452219014,0.0887375225791683,0.369747675531776,0.205128385294825,1.80251833504344,0.0727673229154053
"9","ung",0.496014034113017,0.146216007831962,3.39233741549735,0.000815202611430402,0.420847229003301,0.163524835447818,2.57359824182545,0.0106899587774531
